number,vector,amax
1,[1023690288 169977754 570084666 965060603 535149189 100128337 661719347 1063543442 628162921 478715174 701495198 769075247 124964821 170239420 818257742 267167653 851255762 59455570 1248023 408799740 454374602 1037970945 107421473 908292901],1073741824
2,[989222605 337451370 134872232 778588216 523671104 128479492 448628954 127863018 291909122 183350523 539088370 658022939 424892637 510909341 1043602670 883795791 733872613 509689295 630230423 144750104 766146726 561322920 583248601 139069828],1073741824
3,[846285778 915952166 443047223 222908209 184910622 445072376 149150683 30076744 786694463 608862827 322979038 826951876 540598527 1042894507 8145809 956584458 655710383 38670364 177429793 987157477 375932750 491153642 290104830 544132010],1073741824
4,[54239842 311322724 627890156 144374855 682271868 533216125 22530252 945512912 64720635 703418823 345418195 37775394 592464516 316789564 210062549 888917233 689018138 891145702 378197208 830925847 711463515 755990743 656628048 336403911],1073741824
5,[472748449 416410286 88979271 564409773 438674009 966394152 571478891 163833224 175168435 99198514 678714002 163157444 1001894761 108002954 193058935 813113701 431981725 586987899 351907507 134792314 248226907 118732063 256989893 861561240],1073741824
6,[690354012 420807400 79884192 84186737 312496873 505605510 267565446 992146693 231187693 370081763 778021846 862225135 581436007 905966052 642266691 802446185 261488453 166799906 212527702 982017836 1038389194 96291577 303104269 522391405],1073741824
7,[651006028 242256294 245737011 115222585 375213258 704231375 537913572 964902872 855937021 694232180 517104946 151615482 1008894249 88043032 950663636 142492658 1066890398 683341081 808142509 584229600 130364484 405578132 1032635955 1029414429],1073741824
8,[458470433 114247236 282246766 247646964 832313166 134684442 198884991 576124942 369360813 225096506 737231297 836570629 1016293084 596179774 943493964 399482494 584276548 750854113 555513222 965383806 863772438 971534815 282184432 622129003],1073741824
9,[225875847 897360300 199320166 109275184 460379240 199813952 822067406 639481502 99403450 998558213 203108699 410436133 544568050 781569279 263260993 448169185 651273334 128847702 540991203 459274367 104587729 155405440 659433797 837041623],1073741824
10,[989045234 995673876 171113781 190670796 991765258 948481573 956772792 112207370 768559982 789217270 993112655 329285497 682500286 947005173 221908256 823844349 1040206168 429872851 82252059 822620537 507562416 402963359 814095792 69984524],1073741824
11,[1035534108 45686502 849547932 48365340 874418425 932506502 756575295 723081207 779166289 740899898 614675899 205705346 694876884 467627267 576396471 612696673 41466185 440666213 872244891 314909349 692861260 253732705 690643760 782546512],1073741824
12,[864232123 778124463 675066230 72305518 384453018 631112026 641448549 639635595 1009875741 93039791 129134906 366379027 1009598079 98907440 530390941 963356213 194344624 963658082 343404817 198894310 46617860 467904178 573492770 1014868762],1073741824
13,[431786893 890347784 921234500 272480045 668252263 94535251 492340180 32711830 203649882 709931079 604936374 352259486 954683991 256042392 8098994 998608642 632513894 372019779 1017016707 207663442 213366896 899329833 256435761 363340106],1073741824
14,[861423716 209160773 1054668286 221800482 25817820 819714552 583360555 379347813 656795292 838086074 148053048 747454898 531599577 274886854 559571488 633700668 804229625 578477535 290824528 1033284280 960136232 242131171 426019168 336436719],1073741824
15,[601340210 634835475 660051076 686122218 478409225 232736340 901492126 850560946 2054872 135111627 295264342 373857387 108455628 768699229 115001532 736255222 287848998 76908271 1065733241 1010475372 571195729 364549472 960920009 417801927],1073741824
16,[35068969 648846697 821278780 615607822 575957184 142833406 373374650 358536282 617390125 703609718 648293681 172247225 68609011 593763867 209335869 590797982 889621161 1034760669 970533279 435749397 895816390 615793387 1023920630 281877477],1073741824
17,[652687545 512993230 599674976 375728109 147780653 305559712 255294649 496862352 99072561 91359764 470120055 706899373 29340017 227748722 88316913 101894763 692854830 940431953 475558408 410333892 911578500 385424870 182565231 156933920],1073741824
18,[204525073 1052158050 797434542 99240508 752533689 880107132 828693850 708912445 34282398 1003767480 893269158 125290041 556161771 947207864 158110556 377092991 190026738 451526427 242635783 171104453 629486472 437298796 941783562 512332846],1073741824
19,[823304204 359525187 661790831 506298910 1006213585 709450695 912774772 236681625 74127186 840509878 381752515 869663586 585357442 437018113 395454604 113936768 109287448 172018396 71881771 440286492 120344798 75138911 1020367144 587553199],1073741824
20,[419248484 631339155 154339632 282342048 346987601 184368923 578917252 244528413 517286254 664019386 876076191 914167776 406775335 1006100537 126039538 447824768 1066824441 365830391 492508315 769233080 428182605 1070479987 632335370 260926470],1073741824
21,[535704202 817885331 882713311 15095325 422948421 29410990 119866607 180351536 363512441 1012133265 320161707 809810043 79115636 935294563 958415389 561133595 381925753 941865477 39759823 417247429 528201614 848196084 635943595 1005416901],1073741824
22,[89672480 914181910 736130657 357300797 141514112 981033062 761621685 14140537 758579225 664527629 54482980 986818508 246752764 467518393 357207082 718356460 162697531 155925004 97347466 311106803 915962103 824492605 217572531 830593368],1073741824
23,[25028443 581806191 103649246 1050534864 481956831 153874198 409869795 869576904 669394216 429649248 728890901 858652275 308319275 575191122 193291606 57391473 63075028 1030895538 580689409 510656653 689967335 336154265 464434871 856410276],1073741824
