task number,first solution time,all solutions time,answers number
1,1.405054,27.180534,18
61,1.394385,28.306889,15
45,3.225333,29.121486,20
109,0.000858,29.712479,11
29,0.345354,31.012667,13
85,0.360301,31.386288,17
5,0.178067,31.505819,21
133,0.933990,31.661645,23
97,4.778377,31.850292,15
65,6.893838,32.351962,19
121,1.998618,32.450659,22
141,0.022079,32.469608,10
25,0.003976,32.929900,15
81,3.478725,32.941536,15
21,2.372180,33.032465,18
125,1.488485,33.245401,21
93,0.043432,33.711221,19
153,1.051625,33.808789,11
73,1.121857,34.144476,15
13,0.000374,34.514128,13
17,4.739460,34.712786,20
41,7.030566,34.734949,16
105,1.447749,34.859960,26
157,3.140691,35.696431,17
53,0.198017,35.780325,18
117,4.154356,35.936083,11
49,2.681619,36.049862,9
101,2.422231,36.544195,16
137,1.895995,36.576083,10
9,1.828761,36.939820,14
113,0.225416,37.370797,22
37,0.009755,37.579358,20
89,0.063311,38.534070,11
33,5.281387,39.409933,14
145,0.289413,40.246210,20
149,5.722444,41.017821,10
69,0.210131,42.520501,13
57,0.001869,43.728201,21
129,4.128289,44.720918,13
77,0.681071,49.222341,15
2,0.366179,26.882631,16
62,1.167453,30.643400,15
14,0.296900,26.909889,13
110,0.136180,32.667962,15
86,2.102158,32.079413,15
142,0.295569,32.177887,17
82,0.005174,32.278330,15
26,0.175756,33.094027,15
126,1.952435,32.848871,25
98,0.104301,34.563249,19
30,1.777009,35.678534,20
74,0.390378,32.852671,13
134,0.575833,35.506191,20
50,0.011728,31.187592,16
94,1.837940,33.666516,13
34,2.056658,28.878577,15
106,0.315777,33.465354,11
54,5.432705,32.712552,19
46,2.446392,39.473785,15
122,0.448031,36.237887,22
146,0.472450,29.133427,16
6,2.971846,38.214165,13
154,0.092261,35.858573,17
42,0.076755,35.160887,16
102,1.106513,34.043560,14
158,1.093214,35.790612,24
90,0.024924,33.221287,14
10,0.875741,34.939083,14
38,0.826946,35.045223,13
138,1.234936,36.550947,18
22,0.443023,41.782166,22
66,0.045224,42.503126,16
114,0.143468,37.924153,23
70,5.376958,32.789521,20
150,0.153853,36.505672,20
130,0.027653,34.748850,15
58,0.481339,35.922465,14
118,3.465829,45.092179,21
78,1.521498,32.331079,19
18,0.106340,47.040712,13
3,2.219696,29.951880,16
15,6.400960,26.787578,15
63,0.419797,34.706008,24
83,0.024558,30.620109,18
27,0.849717,30.424680,18
147,0.231622,28.331610,14
99,0.562203,31.884260,19
135,0.959666,32.511805,22
107,0.733939,32.391169,12
87,0.171383,37.265494,12
75,1.862930,34.936867,26
127,2.110842,35.895344,20
91,9.337968,31.290509,15
39,3.476694,31.028629,14
51,0.531316,36.990864,20
155,0.293641,34.555580,18
143,2.169667,40.461112,13
111,1.922798,43.031895,20
103,0.129487,35.062209,12
55,1.357794,37.406014,14
7,0.610933,37.836688,20
139,0.299533,34.406348,22
151,0.639092,29.985773,17
115,3.615711,32.343830,21
35,1.536150,39.670351,17
23,0.164340,33.201959,19
95,0.132555,40.822395,22
31,0.846740,42.354341,18
123,0.004755,41.136108,25
