task number,solution time,fitness minimum,stop reason,generations number
73,0.403270,0,Найдено точное решение,35
17,0.756146,0,Найдено точное решение,45
105,0.674597,0,Найдено точное решение,77
65,1.292764,0,Найдено точное решение,97
153,2.255686,0,Найдено точное решение,141
1,2.813894,0,Найдено точное решение,215
133,2.469081,0,Найдено точное решение,183
74,2.823215,0,Найдено точное решение,341
45,3.447445,0,Найдено точное решение,414
9,3.849197,157,Нет улучшений на последних двух итерациях,522
149,3.470472,226,Нет улучшений на последних двух итерациях,503
75,0.470029,0,Найдено точное решение,61
13,4.001945,0,Найдено точное решение,517
125,3.862668,53,Нет улучшений на последних двух итерациях,529
61,4.029452,500,Нет улучшений на последних двух итерациях,524
93,4.013430,64,Нет улучшений на последних двух итерациях,538
37,4.219844,175,Нет улучшений на последних двух итерациях,599
53,4.196589,82,Нет улучшений на последних двух итерациях,577
97,4.109620,65,Нет улучшений на последних двух итерациях,580
54,0.273606,0,Найдено точное решение,37
55,0.152927,0,Найдено точное решение,18
129,4.657518,92,Нет улучшений на последних двух итерациях,590
94,1.206615,0,Найдено точное решение,124
126,1.314911,0,Найдено точное решение,126
5,5.650464,0,Найдено точное решение,612
81,5.326323,305,Нет улучшений на последних двух итерациях,618
21,5.638216,177,Нет улучшений на последних двух итерациях,773
56,0.917092,0,Найдено точное решение,127
33,5.651829,239,Нет улучшений на последних двух итерациях,709
89,5.522643,30,Нет улучшений на последних двух итерациях,531
117,5.725505,227,Нет улучшений на последних двух итерациях,518
137,5.734711,193,Нет улучшений на последних двух итерациях,504
157,5.812757,27,Нет улучшений на последних двух итерациях,506
98,1.835146,0,Найдено точное решение,259
41,6.095471,853,Нет улучшений на последних двух итерациях,576
106,5.544927,162,Нет улучшений на последних двух итерациях,570
57,6.496856,32,Нет улучшений на последних двух итерациях,599
161,0.964525,0,Найдено точное решение,138
18,5.998949,171,Нет улучшений на последних двух итерациях,678
49,6.575257,779,Нет улучшений на последних двух итерациях,615
113,6.500270,0,Найдено точное решение,494
69,6.600498,177,Нет улучшений на последних двух итерациях,576
101,6.893269,712,Нет улучшений на последних двух итерациях,628
66,5.754272,0,Найдено точное решение,564
85,7.009593,990,Нет улучшений на последних двух итерациях,842
121,7.078130,10,Нет улучшений на последних двух итерациях,575
141,7.339567,862,Нет улучшений на последних двух итерациях,561
14,3.800391,658,Нет улучшений на последних двух итерациях,527
150,3.966859,1018,Нет улучшений на последних двух итерациях,555
25,7.882302,855,Нет улучшений на последних двух итерациях,825
95,2.543988,0,Найдено точное решение,306
62,3.907297,1012,Нет улучшений на последних двух итерациях,503
109,7.988328,78,Нет улучшений на последних двух итерациях,599
76,4.376750,337,Нет улучшений на последних двух итерациях,546
145,7.979643,227,Нет улучшений на последних двух итерациях,637
26,0.437860,0,Найдено точное решение,53
38,4.007983,278,Нет улучшений на последних двух итерациях,542
29,8.404120,395,Нет улучшений на последних двух итерациях,754
46,5.094495,594,Нет улучшений на последних двух итерациях,512
10,4.956877,6,Нет улучшений на последних двух итерациях,685
70,2.277875,0,Найдено точное решение,178
154,6.741135,310,Нет улучшений на последних двух итерациях,646
134,7.143223,0,Найдено точное решение,556
127,4.548925,105,Нет улучшений на последних двух итерациях,649
158,3.903857,0,Найдено точное решение,475
