task number,vector number,target weight,fraction
1,1,2856059,0.25
2,1,364766,0.08
3,1,3489212,0.42
4,1,5193513,0.50
5,1,3446952,0.33
6,1,4184092,0.25
7,1,4484878,0.42
8,1,4140172,0.50
9,1,977283,0.17
10,1,2011864,0.17
11,2,5371884,0.38
12,2,5327192,0.33
13,2,1373971,0.08
14,2,3757644,0.29
15,2,4568568,0.29
16,2,4929179,0.33
17,2,5972707,0.42
18,2,4433410,0.42
19,2,6941107,0.50
20,2,4638707,0.33
21,3,2471627,0.21
22,3,3809827,0.38
23,3,4624033,0.38
24,3,2247505,0.29
25,3,1045543,0.12
26,3,4957882,0.33
27,3,1090310,0.12
28,3,1242286,0.12
29,3,1268716,0.17
30,3,5597522,0.46
31,4,1885603,0.21
32,4,769390,0.08
33,4,5003474,0.50
34,4,4853071,0.42
35,4,2408658,0.21
36,4,6964845,0.38
37,4,1522578,0.12
38,4,1284220,0.12
39,4,3082893,0.21
40,4,4900479,0.50
41,5,2663403,0.33
42,5,559887,0.08
43,5,2318707,0.29
44,5,5100074,0.38
45,5,4906205,0.50
46,5,3901401,0.33
47,5,3779847,0.33
48,5,1024143,0.08
49,5,5092911,0.50
50,5,100368,0.08
51,6,5366772,0.50
52,6,3768888,0.38
53,6,2667683,0.12
54,6,6038292,0.42
55,6,3873638,0.38
56,6,4564689,0.29
57,6,1178433,0.12
58,6,3257257,0.33
59,6,2060507,0.08
60,6,1172097,0.12
61,7,4491352,0.38
62,7,2037965,0.12
63,7,2991887,0.25
64,7,6911309,0.46
65,7,4949738,0.38
66,7,1269481,0.08
67,7,4785523,0.33
68,7,1941778,0.12
69,7,1767295,0.17
70,7,5533295,0.50
71,8,3847466,0.25
72,8,4614986,0.29
73,8,1607356,0.08
74,8,6503632,0.50
75,8,2457111,0.17
76,8,4273735,0.29
77,8,1853858,0.12
78,8,3245988,0.21
79,8,4312411,0.29
80,8,3981665,0.29
81,9,2840659,0.25
82,9,1525774,0.12
83,9,1964074,0.17
84,9,2058986,0.21
85,9,3704116,0.25
86,9,5199934,0.50
87,9,3750798,0.33
88,9,4707906,0.42
